F_BUS,T_BUS,BR_X,RATE_A
1,2,0.0999,220.0
1,3,0.0424,220.0
2,12,0.0616,220.0
3,5,0.108,220.0
3,12,0.16,220.0
4,5,0.00798,440.0
4,11,0.0688,220.0
5,6,0.054,220.0
5,11,0.0682,220.0
6,7,0.0208,220.0
7,12,0.034,220.0
8,9,0.0305,1100.0
8,5,0.0267,880.0
8,30,0.0504,220.0
9,10,0.0322,1100.0
11,12,0.0196,220.0
11,13,0.0731,220.0
12,15,0.0707,220.0
12,17,0.0834,220.0
12,117,0.14,220.0
13,15,0.2444,220.0
14,15,0.195,220.0
15,17,0.0437,440.0
15,19,0.0394,220.0
15,33,0.1244,220.0
16,17,0.1801,220.0
17,19,0.0505,220.0
17,31,0.1563,220.0
17,113,0.0301,220.0
18,19,0.0493,220.0
19,20,0.117,220.0
19,34,0.247,220.0
20,21,0.0849,220.0
21,22,0.097,220.0
22,23,0.159,220.0
23,24,0.0492,220.0
23,25,0.08,440.0
23,32,0.1153,220.0
24,70,0.4115,220.0
24,72,0.196,220.0
25,27,0.163,440.0
26,25,0.0382,220.0
26,30,0.086,660.0
27,28,0.0855,220.0
27,32,0.0755,220.0
27,115,0.0741,220.0
28,31,0.0943,220.0
29,31,0.0331,220.0
30,17,0.0388,660.0
30,38,0.054,220.0
31,32,0.0985,220.0
32,113,0.203,220.0
32,114,0.0612,220.0
33,37,0.142,220.0
34,36,0.0268,220.0
34,37,0.0094,440.0
34,43,0.1681,220.0
35,36,0.0102,220.0
35,37,0.0497,220.0
37,39,0.106,220.0
37,40,0.168,220.0
38,37,0.0375,660.0
38,65,0.0986,440.0
39,40,0.0605,220.0
40,41,0.0487,220.0
40,42,0.183,220.0
41,42,0.135,220.0
42,49,0.323,220.0
42,49,0.323,220.0
43,44,0.2454,220.0
44,45,0.0901,220.0
45,46,0.1356,220.0
45,49,0.186,220.0
46,47,0.127,220.0
46,48,0.189,220.0
47,49,0.0625,220.0
47,69,0.2778,220.0
48,49,0.0505,220.0
49,50,0.0752,220.0
49,51,0.137,220.0
49,54,0.289,220.0
49,54,0.291,220.0
49,66,0.0919,440.0
49,66,0.0919,440.0
49,69,0.324,220.0
50,57,0.134,220.0
51,52,0.0588,220.0
51,58,0.0719,220.0
52,53,0.1635,220.0
53,54,0.122,220.0
54,55,0.0707,220.0
54,56,0.00955,220.0
54,59,0.2293,220.0
55,56,0.0151,220.0
55,59,0.2158,220.0
56,57,0.0966,220.0
56,58,0.0966,220.0
56,59,0.251,220.0
56,59,0.239,220.0
59,60,0.145,220.0
59,61,0.15,220.0
60,61,0.0135,440.0
60,62,0.0561,220.0
61,62,0.0376,220.0
62,66,0.218,220.0
62,67,0.117,220.0
63,59,0.0386,440.0
63,64,0.02,440.0
64,61,0.0268,220.0
64,65,0.0302,440.0
65,66,0.037,220.0
65,68,0.016,220.0
66,67,0.1015,220.0
68,69,0.037,440.0
68,81,0.0202,220.0
68,116,0.00405,440.0
69,70,0.127,440.0
69,75,0.122,440.0
69,77,0.101,220.0
70,71,0.0355,220.0
70,74,0.1323,220.0
70,75,0.141,220.0
71,72,0.18,220.0
71,73,0.0454,220.0
74,75,0.0406,220.0
75,77,0.1999,220.0
75,118,0.0481,220.0
76,77,0.148,220.0
76,118,0.0544,220.0
77,78,0.0124,220.0
77,80,0.0485,440.0
77,80,0.105,220.0
77,82,0.0853,220.0
78,79,0.0244,220.0
79,80,0.0704,220.0
80,96,0.182,220.0
80,97,0.0934,220.0
80,98,0.108,220.0
80,99,0.206,220.0
81,80,0.037,220.0
82,83,0.03665,220.0
82,96,0.053,220.0
83,84,0.132,220.0
83,85,0.148,220.0
84,85,0.0641,220.0
85,86,0.123,220.0
85,88,0.102,220.0
85,89,0.173,220.0
86,87,0.2074,220.0
88,89,0.0712,440.0
89,90,0.032,660.0
89,91,0.032,220.0
89,92,0.0505,220.0
90,91,0.0505,660.0
91,92,0.1272,220.0
92,93,0.032,220.0
92,94,0.158,220.0
92,100,0.295,220.0
92,102,0.0559,220.0
93,94,0.0732,220.0
94,95,0.0434,220.0
94,96,0.0869,220.0
94,100,0.058,220.0
95,96,0.0547,220.0
96,97,0.0885,220.0
98,100,0.179,220.0
99,100,0.0813,220.0
100,101,0.1262,220.0
100,103,0.0525,440.0
100,104,0.204,220.0
100,106,0.229,220.0
101,102,0.112,220.0
103,104,0.1584,220.0
103,105,0.1625,220.0
103,110,0.1813,220.0
104,105,0.0378,220.0
105,106,0.0547,220.0
105,107,0.183,220.0
105,108,0.0703,220.0
106,107,0.183,220.0
108,109,0.0288,220.0
109,110,0.0762,220.0
110,111,0.0755,220.0
110,112,0.064,220.0
114,115,0.0104,220.0
76,118,0.0544,9900.0
