BUS_ID,PD,PMIN,PMAX,COST
1,51.0,0.0,0.0,0.0
2,20.0,0.0,0.0,0.0
3,39.0,0.0,0.0,0.0
4,39.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,52.0,0.0,0.0,0.0
7,19.0,0.0,0.0,0.0
8,28.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,550.0,0.217
11,70.0,0.0,0.0,0.0
12,47.0,0.0,185.0,1.052
13,34.0,0.0,0.0,0.0
14,14.0,0.0,0.0,0.0
15,90.0,0.0,0.0,0.0
16,25.0,0.0,0.0,0.0
17,11.0,0.0,0.0,0.0
18,60.0,0.0,0.0,0.0
19,45.0,0.0,0.0,0.0
20,18.0,0.0,0.0,0.0
21,14.0,0.0,0.0,0.0
22,10.0,0.0,0.0,0.0
23,7.0,0.0,0.0,0.0
24,13.0,0.0,0.0,0.0
25,0.0,0.0,320.0,0.434
26,0.0,0.0,414.0,0.308
27,71.0,0.0,0.0,0.0
28,17.0,0.0,0.0,0.0
29,24.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,43.0,0.0,107.0,5.882
32,59.0,0.0,0.0,0.0
33,23.0,0.0,0.0,0.0
34,59.0,0.0,0.0,0.0
35,33.0,0.0,0.0,0.0
36,31.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,27.0,0.0,0.0,0.0
40,66.0,0.0,0.0,0.0
41,37.0,0.0,0.0,0.0
42,96.0,0.0,0.0,0.0
43,18.0,0.0,0.0,0.0
44,16.0,0.0,0.0,0.0
45,53.0,0.0,0.0,0.0
46,28.0,0.0,119.0,3.448
47,34.0,0.0,0.0,0.0
48,20.0,0.0,0.0,0.0
49,87.0,0.0,304.0,0.467
50,17.0,0.0,0.0,0.0
51,17.0,0.0,0.0,0.0
52,18.0,0.0,0.0,0.0
53,23.0,0.0,0.0,0.0
54,113.0,0.0,148.0,1.724
55,63.0,0.0,0.0,0.0
56,84.0,0.0,0.0,0.0
57,12.0,0.0,0.0,0.0
58,12.0,0.0,0.0,0.0
59,277.0,0.0,255.0,0.606
60,78.0,0.0,0.0,0.0
61,0.0,0.0,260.0,0.588
62,77.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0
65,0.0,0.0,491.0,0.2493
66,39.0,0.0,492.0,0.2487
67,28.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,805.2,0.1897
70,66.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,12.0,0.0,0.0,0.0
73,6.0,0.0,0.0,0.0
74,68.0,0.0,0.0,0.0
75,47.0,0.0,0.0,0.0
76,68.0,0.0,0.0,0.0
77,61.0,0.0,0.0,0.0
78,71.0,0.0,0.0,0.0
79,39.0,0.0,0.0,0.0
80,130.0,0.0,577.0,2.05
81,0.0,0.0,0.0,0.0
82,54.0,0.0,0.0,0.0
83,20.0,0.0,0.0,0.0
84,11.0,0.0,0.0,0.0
85,24.0,0.0,0.0,0.0
86,21.0,0.0,0.0,0.0
87,0.0,0.0,104.0,7.142
88,48.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,440.0,0.0,0.0,0.0
91,10.0,0.0,0.0,0.0
92,65.0,0.0,100.0,10.0
93,12.0,0.0,0.0,0.0
94,30.0,0.0,0.0,0.0
95,42.0,0.0,0.0,0.0
96,38.0,0.0,0.0,0.0
97,15.0,0.0,0.0,0.0
98,34.0,0.0,0.0,0.0
99,42.0,0.0,0.0,0.0
100,37.0,0.0,352.0,0.381
101,22.0,0.0,0.0,0.0
102,5.0,0.0,0.0,0.0
103,23.0,0.0,140.0,2.0
104,38.0,0.0,0.0,0.0
105,31.0,0.0,0.0,0.0
106,43.0,0.0,0.0,0.0
107,50.0,0.0,0.0,0.0
108,2.0,0.0,0.0,0.0
109,8.0,0.0,0.0,0.0
110,39.0,0.0,0.0,0.0
111,0.0,0.0,136.0,2.173
112,68.0,0.0,0.0,0.0
113,6.0,0.0,0.0,0.0
114,8.0,0.0,0.0,0.0
115,22.0,0.0,0.0,0.0
116,184.0,0.0,0.0,0.0
117,20.0,0.0,0.0,0.0
118,33.0,0.0,0.0,0.0
